network,n_nodes,out_degree,weight_regime,reciprocity,mc_struct_mean,mc_struct_std,mc_null_random_mean,mc_null_random_std,mc_p_value,mc_cohens_d,mc_p_fmt,kr_struct_mean,kr_struct_std,kr_null_random_mean,kr_null_random_std,kr_p_value,kr_cohens_d,kr_p_fmt
SW,64,6,binary,0.0000,11.0463,0.2783,11.0479,0.2699,0.9346,-0.0057,0.935,6.0000,0.2000,5.9640,0.1109,0.2732,0.2226,0.273
SW,64,6,binary,0.1000,11.0082,0.2693,10.9567,0.2613,0.0047,0.1961,<0.01,5.9800,0.1400,5.9400,0.1217,0.1343,0.3050,0.134
SW,64,6,binary,0.2000,10.9128,0.2537,10.8381,0.2769,0.0001,0.2734,<0.0001,5.9800,0.2441,5.9040,0.1216,0.0540,0.3941,0.054
SW,64,6,binary,0.3000,10.7755,0.2730,10.7356,0.2669,0.0319,0.1489,<0.05,5.9400,0.2375,5.9040,0.1341,0.3578,0.1867,0.358
SW,64,6,binary,0.4000,10.7516,0.2761,10.6234,0.2791,0.0000,0.4601,<0.0001,5.8800,0.3250,5.8680,0.1580,0.8167,0.0470,0.817
SW,64,6,binary,0.5000,10.6688,0.2747,10.4911,0.2746,0.0000,0.6472,<0.0001,5.9000,0.3000,5.8720,0.1312,0.5508,0.1209,0.551
SW,64,6,binary,0.6000,10.5252,0.3066,10.3519,0.2842,0.0000,0.6017,<0.0001,5.9400,0.2375,5.8120,0.1807,0.0034,0.6066,<0.01
SW,64,6,binary,0.7000,10.4563,0.2604,10.2629,0.2775,0.0000,0.7041,<0.0001,5.9400,0.2375,5.7440,0.2229,0.0001,0.8511,<0.0001
SW,64,6,binary,0.8000,10.4137,0.2902,10.1503,0.2807,0.0000,0.9330,<0.0001,5.9600,0.1960,5.6760,0.2259,0.0000,1.3431,<0.0001
SW,64,6,binary,0.9000,10.2977,0.2849,10.0316,0.2796,0.0000,0.9487,<0.0001,5.8800,0.3250,5.6080,0.2038,0.0000,1.0028,<0.0001
SW,64,6,binary,1.0000,10.2030,0.2507,9.8752,0.2844,0.0000,1.1746,<0.0001,5.8800,0.3250,5.4960,0.2341,0.0000,1.3560,<0.0001
SW,64,6,random_narrow,0.0000,11.6559,0.3102,11.6805,0.3314,0.2790,-0.0751,0.279,6.3000,0.4583,6.2360,0.1682,0.3610,0.1854,0.361
