network,n_nodes,out_degree,weight_regime,mc_model,mc_slope,mc_decay_rate,mc_p_slope,mc_p_slope_fmt,mc_r_squared,mc_mean_p,mc_mean_cohens_d,kr_model,kr_slope,kr_decay_rate,kr_p_slope,kr_p_slope_fmt,kr_r_squared,kr_mean_p,kr_mean_cohens_d
SW,64,6,binary,linear,-0.8564,,0.0000,<0.0001,0.9924,0.0883,0.5529,linear,-0.0909,,0.0196,<0.05,0.4717,0.1991,0.5851
SW,64,6,random_narrow,linear,-0.8190,,0.0000,<0.0001,0.9877,0.0278,0.4847,linear,-0.3109,,0.0003,<0.001,0.7756,0.3405,0.2991
SW,64,6,random_broad,linear,-2.8881,,0.0000,<0.0001,0.9517,0.1845,-0.0771,linear,-3.1545,,0.0000,<0.0001,0.9554,0.3986,-0.0460
SW,64,6,adjusted_narrow,linear,-0.8644,,0.0000,<0.0001,0.9447,0.0609,0.4519,linear,-0.2745,,0.0135,<0.05,0.5103,0.3567,0.3012
SW,64,6,adjusted_broad,exponential,-2.1412,-2.1412,0.0045,<0.01,0.9649,0.3135,-0.0589,exponential,-3.1920,-3.1920,0.0003,<0.001,0.9749,0.4346,-0.0019
SW,64,10,binary,linear,-0.3023,,0.0000,<0.0001,0.9921,0.0874,0.4523,linear,-0.0182,,0.3721,0.372,0.0893,0.4297,0.1325
SW,64,10,random_narrow,linear,-0.3299,,0.0000,<0.0001,0.9824,0.1330,0.3850,linear,-0.0236,,0.3358,0.336,0.1030,0.4595,0.1294
SW,64,10,random_broad,linear,-1.4082,,0.0000,<0.0001,0.9109,0.2778,-0.0578,linear,-1.0091,,0.0007,<0.001,0.7391,0.4306,0.0094
SW,64,10,adjusted_narrow,linear,-0.2958,,0.0020,<0.01,0.6709,0.1085,0.3519,linear,-0.0400,,0.2958,0.296,0.1204,0.4390,0.0680
SW,64,10,adjusted_broad,exponential,-0.7305,-0.7305,0.0752,0.075,0.9811,0.3950,-0.0304,exponential,-0.7314,-0.7314,0.0861,0.086,0.9793,0.5977,-0.0403
SW,128,6,binary,linear,-1.1289,,0.0000,<0.0001,0.9960,0.0000,0.8964,linear,-0.2618,,0.0023,<0.01,0.6638,0.0529,0.4811
SW,128,6,random_narrow,linear,-1.2209,,0.0000,<0.0001,0.9927,0.0000,0.7271,linear,-0.5618,,0.0001,<0.001,0.8247,0.0062,0.7112
SW,128,6,random_broad,linear,-4.6123,,0.0000,<0.0001,0.9158,0.1287,-0.0048,linear,-5.2127,,0.0000,<0.0001,0.9119,0.3848,0.1109
SW,128,6,adjusted_narrow,linear,-1.2941,,0.0000,<0.0001,0.9356,0.0000,0.6571,linear,-0.4236,,0.0478,<0.05,0.3681,0.0325,0.7099
SW,128,6,adjusted_broad,exponential,-5.5985,-5.5985,0.0028,<0.01,0.9266,0.2051,0.0372,exponential,-7.4721,-7.4721,0.0005,<0.001,0.9560,0.3926,0.0761
SW,128,10,binary,linear,-0.3513,,0.0000,<0.0001,0.9861,0.0007,0.8915,linear,-0.0073,,0.7816,0.782,0.0090,0.4280,0.0460
SW,128,10,random_narrow,linear,-0.3802,,0.0000,<0.0001,0.9914,0.0349,0.7494,linear,-0.1909,,0.0024,<0.01,0.6594,0.1937,0.3150
SW,128,10,random_broad,linear,-2.6155,,0.0000,<0.0001,0.9512,0.2697,-0.0315,linear,-1.9000,,0.0003,<0.001,0.7832,0.3142,-0.0038
SW,128,10,adjusted_narrow,linear,-0.3730,,0.0034,<0.01,0.6327,0.0049,0.6612,linear,0.0709,,0.5557,0.556,0.0399,0.4409,0.2705
SW,128,10,adjusted_broad,exponential,-1.8144,-1.8144,0.0053,<0.01,0.9713,0.2249,-0.0302,exponential,-2.3583,-2.3583,0.0020,<0.01,0.9691,0.4120,-0.0334
SW,256,6,binary,linear,-1.8718,,0.0000,<0.0001,0.9970,0.0000,0.9460,linear,-0.3145,,0.0228,<0.05,0.4548,0.0013,0.8349
SW,256,6,random_narrow,linear,-1.8847,,0.0000,<0.0001,0.9990,0.0000,0.8873,linear,-0.3436,,0.0000,<0.0001,0.8717,0.0187,1.1324
SW,256,6,random_broad,linear,-7.0254,,0.0000,<0.0001,0.9049,0.0737,-0.1075,linear,-9.4964,,0.0000,<0.0001,0.8670,0.4283,-0.1158
SW,256,6,adjusted_narrow,linear,-2.0416,,0.0000,<0.0001,0.9729,0.0000,0.7695,linear,-0.3709,,0.0149,<0.05,0.5001,0.0270,1.0038
SW,256,6,adjusted_broad,exponential,-8.9656,-8.9656,0.0014,<0.01,0.9412,0.2786,-0.0105,exponential,-13.1999,-13.1999,0.0003,<0.001,0.9710,0.5670,-0.0053
SW,256,10,binary,linear,-0.6534,,0.0000,<0.0001,0.9925,0.0000,1.0795,linear,0.0127,,0.6657,0.666,0.0217,0.3932,-0.0312
SW,256,10,random_narrow,linear,-0.6709,,0.0000,<0.0001,0.9946,0.0000,1.0476,linear,-0.1509,,0.1781,0.178,0.1917,0.0285,0.7941
SW,256,10,random_broad,linear,-4.2603,,0.0000,<0.0001,0.8976,0.3477,-0.0143,linear,-3.6436,,0.0000,<0.0001,0.9028,0.6315,0.0060
SW,256,10,adjusted_narrow,linear,-0.6457,,0.0002,<0.001,0.8118,0.0000,0.9468,linear,-0.0600,,0.7510,0.751,0.0118,0.0290,0.8183
SW,256,10,adjusted_broad,exponential,-4.6385,-4.6385,0.0006,<0.001,0.9589,0.3474,0.0163,exponential,-5.4397,-5.4397,0.0003,<0.001,0.9619,0.5305,0.0102
SW,512,6,binary,linear,-3.0941,,0.0000,<0.0001,0.9984,0.0000,0.9423,linear,-0.1673,,0.3202,0.320,0.1095,0.0382,1.1744
SW,512,6,random_narrow,linear,-3.1672,,0.0000,<0.0001,0.9991,0.0000,1.0026,linear,-0.0909,,0.1940,0.194,0.1796,0.2160,1.3064
SW,512,6,random_broad,linear,-8.7561,,0.0001,<0.0001,0.8476,0.2408,-0.1137,linear,-13.7418,,0.0002,<0.001,0.7960,0.3107,-0.2493
SW,512,6,adjusted_narrow,linear,-3.5355,,0.0000,<0.0001,0.9917,0.0000,0.8210,linear,-0.1855,,0.1209,0.121,0.2458,0.2173,0.9136
SW,512,6,adjusted_broad,exponential,-13.5073,-13.5073,0.0004,<0.001,0.9677,0.3488,-0.0489,exponential,-23.1597,-23.1597,0.0005,<0.001,0.9872,0.4299,-0.0692
SW,512,10,binary,linear,-1.2435,,0.0000,<0.0001,0.9865,0.0000,1.2148,linear,0.2400,,0.0559,0.056,0.3485,0.1544,0.6152
SW,512,10,random_narrow,linear,-1.2373,,0.0000,<0.0001,0.9915,0.0000,1.1264,linear,-0.2218,,0.1526,0.153,0.2134,0.0721,1.1250
SW,512,10,random_broad,linear,-6.3239,,0.0000,<0.0001,0.8890,0.3479,-0.0142,linear,-6.4291,,0.0000,<0.0001,0.8691,0.4137,0.1790
SW,512,10,adjusted_narrow,linear,-1.3270,,0.0000,<0.0001,0.9549,0.0000,0.9631,linear,-0.1018,,0.6553,0.655,0.0231,0.1191,0.9348
SW,512,10,adjusted_broad,exponential,-7.9736,-7.9736,0.0001,<0.001,0.9685,0.3342,-0.0038,exponential,-10.1234,-10.1234,0.0001,<0.0001,0.9772,0.5229,0.0738
SW,1024,6,binary,linear,-4.6110,,0.0000,<0.0001,0.9963,0.0000,1.0893,linear,-0.9485,,0.0007,<0.001,0.7405,0.0225,1.2902
SW,1024,6,random_narrow,linear,-5.1885,,0.0000,<0.0001,0.9918,0.0000,0.9250,linear,0.0000,,,NaN,,0.2086,0.2746
SW,1024,6,random_broad,linear,-8.8393,,0.0002,<0.001,0.8122,0.2399,-0.0853,linear,-22.8394,,0.0025,<0.01,0.6566,0.4955,0.0253
