out_degree,condition,reciprocity,bal_acc_mean,bal_acc_std,f1_mean,f1_std
6,binary,0.0,0.5273,0.0115,0.4813,0.0341
6,binary,0.1,0.5304,0.0115,0.4864,0.0291
6,binary,0.2,0.5264,0.0106,0.4776,0.0318
6,binary,0.3,0.5265,0.01,0.485,0.0279
6,binary,0.4,0.526,0.013,0.4766,0.0344
6,binary,0.5,0.5265,0.0099,0.4755,0.0317
6,binary,0.6,0.5315,0.0099,0.4913,0.0278
6,binary,0.7,0.5297,0.0117,0.4864,0.0348
6,binary,0.8,0.5324,0.0102,0.487,0.0267
6,binary,0.9,0.531,0.0108,0.4834,0.0264
6,binary,1.0,0.5361,0.0117,0.4935,0.0324
6,random weight,0.0,0.6507,0.0176,0.6456,0.0214
6,random weight,0.1,0.6538,0.0283,0.6484,0.0344
6,random weight,0.2,0.6367,0.0479,0.623,0.0632
6,random weight,0.3,0.6306,0.0585,0.6156,0.0752
6,random weight,0.4,0.6314,0.0591,0.62,0.0688
6,random weight,0.5,0.6379,0.047,0.6263,0.0594
6,random weight,0.6,0.6482,0.0572,0.6362,0.0709
6,random weight,0.7,0.6361,0.0569,0.6239,0.0681
6,random weight,0.8,0.6427,0.0584,0.6306,0.0697
6,random weight,0.9,0.6335,0.0641,0.6195,0.0785
6,random weight,1.0,0.6288,0.058,0.6132,0.0715
6,adjusted weight,0.0,0.6517,0.0184,0.6468,0.0213
6,adjusted weight,0.1,0.6108,0.0549,0.5928,0.0694
6,adjusted weight,0.2,0.5902,0.0516,0.57,0.0627
6,adjusted weight,0.3,0.5903,0.0605,0.5697,0.0724
6,adjusted weight,0.4,0.587,0.0477,0.5612,0.0612
6,adjusted weight,0.5,0.5887,0.0455,0.5649,0.0586
6,adjusted weight,0.6,0.5976,0.0528,0.5756,0.068
6,adjusted weight,0.7,0.5857,0.0474,0.5609,0.0584
6,adjusted weight,0.8,0.586,0.0476,0.5557,0.0657
6,adjusted weight,0.9,0.5766,0.0471,0.5509,0.0626
6,adjusted weight,1.0,0.5457,0.0298,0.5153,0.0427
10,binary,0.0,0.5235,0.0109,0.4779,0.0346
10,binary,0.1,0.5255,0.0101,0.4776,0.0349
10,binary,0.2,0.5246,0.0118,0.4818,0.0318
10,binary,0.3,0.5251,0.0098,0.4816,0.0277
10,binary,0.4,0.5254,0.0113,0.4858,0.0355
10,binary,0.5,0.524,0.0099,0.4836,0.0304
10,binary,0.6,0.5243,0.0095,0.4807,0.0286
10,binary,0.7,0.5225,0.0076,0.4775,0.027
10,binary,0.8,0.5227,0.0085,0.4717,0.0306
10,binary,0.9,0.5217,0.011,0.4693,0.0404
10,binary,1.0,0.5264,0.009,0.4788,0.0321
10,random weight,0.0,0.5955,0.023,0.5797,0.0331
10,random weight,0.1,0.6044,0.029,0.5907,0.0367
10,random weight,0.2,0.5997,0.0298,0.5836,0.0397
10,random weight,0.3,0.6182,0.0265,0.6083,0.0335
10,random weight,0.4,0.6287,0.024,0.6193,0.0299
10,random weight,0.5,0.6252,0.0306,0.6133,0.0428
10,random weight,0.6,0.6264,0.038,0.6144,0.0504
10,random weight,0.7,0.6269,0.039,0.6161,0.0507
10,random weight,0.8,0.6431,0.0375,0.6354,0.0453
10,random weight,0.9,0.6336,0.0427,0.6224,0.0553
10,random weight,1.0,0.638,0.0436,0.6266,0.0538
10,adjusted weight,0.0,0.5968,0.0223,0.5806,0.0298
10,adjusted weight,0.1,0.6106,0.0524,0.5946,0.0676
10,adjusted weight,0.2,0.612,0.054,0.5942,0.0668
10,adjusted weight,0.3,0.6062,0.0498,0.5873,0.0632
10,adjusted weight,0.4,0.6246,0.0461,0.6109,0.0556
10,adjusted weight,0.5,0.6055,0.0475,0.5873,0.0583
10,adjusted weight,0.6,0.601,0.0502,0.5803,0.0632
10,adjusted weight,0.7,0.5975,0.0503,0.5759,0.0649
10,adjusted weight,0.8,0.5974,0.0449,0.5731,0.0592
10,adjusted weight,0.9,0.5872,0.044,0.5633,0.0551
10,adjusted weight,1.0,0.5528,0.0339,0.523,0.0488
