out_degree,reciprocity,mc_mean,mc_std,narma5_corr_mean,narma5_corr_std,narma10_corr_mean,narma10_corr_std
5,0.0,16.3991,0.1991,0.9517,0.0098,0.8873,0.0253
5,0.1,16.0179,0.1976,0.9497,0.0093,0.8871,0.023
5,0.2,15.5955,0.2175,0.9472,0.0103,0.8817,0.0248
5,0.3,15.0718,0.2541,0.9449,0.0114,0.8707,0.0295
5,0.4,14.6885,0.249,0.9432,0.011,0.8579,0.0309
5,0.5,14.2824,0.2217,0.9419,0.0112,0.8453,0.0324
5,0.6,13.8985,0.2671,0.9412,0.0114,0.8347,0.0365
5,0.7,13.4416,0.3342,0.9393,0.0117,0.827,0.0394
5,0.8,13.0548,0.2969,0.9392,0.0117,0.8209,0.0394
5,0.9,12.7611,0.307,0.9381,0.0121,0.8179,0.0413
5,1.0,12.4772,0.356,0.9368,0.0119,0.8169,0.0406
10,0.0,12.3655,0.0778,0.9243,0.0122,0.7465,0.0576
10,0.1,12.2908,0.0754,0.9247,0.0119,0.7425,0.0565
10,0.2,12.1919,0.0875,0.9247,0.0123,0.7393,0.057
10,0.3,12.0807,0.1067,0.9248,0.0122,0.7401,0.0578
10,0.4,11.9345,0.0977,0.9246,0.0125,0.7399,0.0579
10,0.5,11.8434,0.1143,0.925,0.0124,0.7389,0.0545
10,0.6,11.7274,0.1472,0.925,0.0127,0.7427,0.0556
10,0.7,11.5625,0.1483,0.9247,0.0123,0.7409,0.0567
10,0.8,11.5472,0.1186,0.925,0.0126,0.7446,0.0567
10,0.9,11.438,0.2119,0.9252,0.0127,0.7491,0.0541
10,1.0,11.3257,0.1412,0.9247,0.0131,0.7497,0.0534
20,0.0,9.7996,0.0509,0.9166,0.0127,0.7215,0.0603
20,0.1,9.7871,0.0599,0.9173,0.0132,0.7226,0.0609
20,0.2,9.7633,0.0511,0.9179,0.0129,0.7235,0.0606
20,0.3,9.7287,0.0757,0.9184,0.0131,0.7231,0.0587
20,0.4,9.7054,0.0581,0.9191,0.0125,0.7253,0.0583
20,0.5,9.6727,0.0657,0.9202,0.0122,0.7255,0.057
20,0.6,9.6325,0.0654,0.9205,0.0127,0.7242,0.0592
20,0.7,9.608,0.0722,0.9208,0.0124,0.7277,0.0558
20,0.8,9.5511,0.0807,0.9212,0.0127,0.7241,0.0587
20,0.9,9.5191,0.084,0.9212,0.0123,0.7275,0.0573
20,1.0,9.474,0.0931,0.9208,0.0126,0.7249,0.0579
50,0.0,7.6495,0.0325,0.8748,0.0166,0.7099,0.059
50,0.1,7.6385,0.0483,0.875,0.0172,0.7112,0.0584
50,0.2,7.6275,0.0412,0.8746,0.0162,0.7107,0.0575
50,0.3,7.6287,0.0555,0.8751,0.017,0.7102,0.0594
50,0.4,7.6124,0.0426,0.8755,0.0164,0.7129,0.0592
50,0.5,7.59,0.0453,0.8755,0.0169,0.7102,0.0593
50,0.6,7.6001,0.0406,0.8757,0.0173,0.7113,0.0587
50,0.7,7.5718,0.045,0.875,0.017,0.7098,0.0584
50,0.8,7.557,0.0528,0.8749,0.0171,0.7113,0.0586
50,0.9,7.5566,0.0491,0.8749,0.0166,0.7107,0.0587
50,1.0,7.5494,0.0463,0.8751,0.0172,0.7128,0.0581
